Country,town,lat,lon,Date,Sesamia calamistis,Busseola fusca,Chilo partellus
Zambia,Chiawa,-15.8333,29,1997/98,4,0,9
Zambia,Muzama,-15.75,28.2167,1997/98,1,0,14
Zambia,Pembele,-15.75,28.2167,1997/98,9,0,14
Zambia,Lusitu,-16.1833,28.75,1997/98,5,1,0
Zambia,Lusitu,-16.1833,28.75,1997/98,5,4,0
Zambia,Lusitu,-16.1833,28.75,1997/98,10,1,0
Zambia,Lusitu,-16.1833,28.75,1997/98,7,0,1
Zimbabwe,Munyati,-17.25,27.65,1997/98,0,0,10
Zambia,B/Malima,-17.2333,27.3667,1997/98,0,0,49
Zambia,Shabukulu,-17.2333,27.3667,1997/98,0,0,0
Zambia,Gwembe,-16.8333,27.8333,1997/98,0,7,0
Zambia,Nakatindi,-17.8333,25.8333,1997/98,1,0,13
Zambia,T/College,-17.8333,25.8333,1997/98,15,0,0
Zambia,Linda,-17.8333,25.8333,1997/98,7,0,5
Zambia,Senkobo,-17.5,25,1997/98,2,5,2
Zambia,Mambwe,-13.5,32.25,1997/98,0,0,0
Zambia,Bowa,-13.75,31.4167,1997/98,0,0,1
Zambia,Kalobolelwa,-17.0667,23.9833,1997/98,1,0,46
Zambia,Kalobolelwa,-17.0167,23.9833,1997/98,9,0,0
Zambia,Kalobolelwa,-17.0167,23.9667,1997/98,2,2,68
Zambia,Kampekete,-15.4833,28.7667,1997/98,0,9,0
Zambia,Kasisi,-15.2667,28.4833,1997/98,0,3,0
Zambia,Kasisi,-15.2667,28.4833,1997/98,5,2,0
Zambia,Luimba,-15.5167,28.4833,1997/98,0,27,0
Zambia,Kanakantapa,-15.25,28.6167,1997/98,0,22,0
Zambia,Chombwa,-15.25,28.5,1997/98,0,14,0
Zambia,Diamondale F.,-15.25,28.5,1997/98,13,0,7
Zambia,Chartenol F.,-15.25,28.5,1997/98,9,3,0
Zambia,Shimbalaga,-15.25,28.5,1997/98,3,0,0
Zambia,Kafue,-15.75,28.2167,1997/98,0,6,0
Zambia,Makuku Farm,-15.8333,27.8333,1997/98,0,5,0
Zambia,Nanga,-15.7667,27.9167,1997/98,9,3,1
Zambia,Kayuni,-16.25,27.5,1997/98,0,4,3
Zambia,M/Chingwa,-15.8333,27.8333,1997/98,7,10,0
Zambia,Ngoma F.,-15.8333,27.8333,1997/98,6,1,0
Zambia,Shatubi F.,-15.8333,27.8333,1997/98,3,1,0
Zambia,Muzoka,-16.5667,27.25,1997/98,0,7,0
Zambia,Chazangwa,-16.75,26.9167,1997/98,0,5,0
Zambia,Kalomo,-17.0833,26.6667,1997/98,1,6,0
Zambia,Mukwela,-17.0833,26.8333,1997/98,0,11,0
Zambia,Kalichero,-13.5167,32.5,1997/98,2,1,0
Zambia,Lusowe,-14.3,31.2667,1997/98,1,2,0
Zambia,Nyimba,-14.75,30.65,1997/98,0,9,0
Zambia,K/central,-14.05,32.0167,1997/98,0,12,0
Zambia,Sinda,-14.2667,31.65,1997/98,2,20,0
Zambia,Moyo,-15.5833,23.2833,1997/98,0,0,0
Zambia,Moyo,-15.5667,23.25,1997/98,8,39,0
Zambia,Moyo,-15.5667,23.25,1997/98,19,3,0
Zambia,Moyo,-15.5667,23.2667,1997/98,0,0,0
Zambia,Mongu Boma,-15.25,23.1167,1997/98,10,4,0
Zambia,Lukulu,-12.9,30.5833,1997/98,1,36,0
Zambia,Mk/Central,-13,28,1997/98,0,18,3
Zambia,Lubu,-10.8833,32.0333,1997/98,0,12,0
Zambia,Mukwikile,-11.4333,31.7167,1997/98,0,24,0
Zambia,Matumbo,-10.8833,32.0333,1997/98,0,43,0
Zambia,Kabangama,-11.4333,31.7333,1997/98,0,31,0
Zambia,Chifuma,-10.5833,32.1333,1997/98,0,15,0
Zambia,Mwenzo,-9.3167,32.6667,1997/98,0,20,0
Zambia,Ilola/Kapwila,-9.3167,32.4667,1997/98,0,9,0
Zambia,Ntatumbila,-9.5,32.2667,1997/98,0,9,0
Zambia,Senga Hill,-13,28.75,1997/98,0,15,0
Zambia,Lolesha,-8.75,31.1,1997/98,2,17,0
Zambia,Mpulungu,-8.75,31.1,1997/98,2,10,2
Zambia,Mulenga Hill,-10.25,31.6333,1997/98,2,49,0
Zambia,FTI,-13.1333,28,1997/98,2,5,0
Zambia,Chungu,-12.9833,28,1997/98,7,15,0
Zambia,Menga,-12.9833,28,1997/98,2,12,1
Zambia,Mansa TAS,-11.2333,29,1997/98,0,31,0
Zambia,Mabumba,-11.25,29,1997/98,0,7,0
